broad_no,broad_title,user_id,user_nick,view_cnt,broad_start,hash_tags,captured_at_utc,platform,category_no
288816620,리버풀 vs 애스턴빌라 입중계 콥 모여라.빡컴/리버풀팬 191일차[FC온라인 피파4],tlgus9801,금강신,46,2025-11-01 23:00:29.0,"['두치와뿌꾸', '존잘벅이', 'FC온라인', '리버풀', '먹방']",2025-11-01T21:19:14Z,soop,00040070
288499848,키보드슈챔 공경 갑시다잉 피파온라인4 fc온라인,yechan79,흑호*,23,2025-10-21 01:59:38.0,"['피파', '피파온라인4', 'fc온라인', '팀평', '스쿼드']",2025-11-01T21:19:14Z,soop,00040070
288007486,골좀 까자고요 ㅠㅠ 피파4 FC온라인,hehe9257,희윤94,15,2025-10-02 20:10:24.0,"['FC온라인', '피파', 'vlvk']",2025-11-01T21:19:14Z,soop,00040070
288819458,[챔스] 현 메타 최적 스쿼드 바로 가능 / 매운맛 팀평·시참·팀리뷰·관피 가능,tjdvkf1112,김성팔.,14,2025-11-02 01:18:14.0,"['FC온라인', '맨유', '호날두', '팀평', '시참']",2025-11-01T21:19:14Z,soop,00040070
288818480,[신입 3일차] 월클까지 노방종 하겠습니다.   (팀평 매우 주관적임),hojineeee,금쪽이호진,9,2025-11-02 00:19:39.0,"['신입', '캠방', 'FC온라인', '피파4', '소통']",2025-11-01T21:19:14Z,soop,00040070
288803162,"11월에도 24시간 노방종.. 시참,팀평,팀리뷰환영",dksthgus0601,로즈마리♥,6,2025-11-01 16:03:07.0,"['피파', '피파4', 'fc온라인', '두치와뿌꾸']",2025-11-01T21:19:14Z,soop,00040070
288794936,일요일 본캐모먼트카카 금카도전 말리기X 스케줄환영 FC온라인 피파4,wkdehdgnl369,정봉구,6,2025-11-01 08:02:59.0,"['두치와뿌꾸', '철구', '피파', 'fc온라인', '봉준']",2025-11-01T21:19:14Z,soop,00040070
288811310,[노방종] 오후4:00go:) FC온라인 피파4 제트디♥,cla0095,제트디♥,4,2025-11-01 20:38:15.0,"['제트디', '피파4', '피파온라인4', '축구', '드롭스']",2025-11-01T21:19:14Z,soop,00040070
288745684,떵갈비 생일 자축/자러감용~,pedro35,한입떡갈비,4,2025-10-30 14:22:40.0,[],2025-11-01T21:19:14Z,soop,00040070
288821024,맨유 250조 스쿼드로 월클 도전,gangholang,갱호랭이,3,2025-11-02 03:54:40.0,"['소통방송', '노가리방송']",2025-11-01T21:19:14Z,soop,00040070
288806970,피파 시청자 도장깨기 갑니다!!내일까지만 시참10개 무제한,shj6103,서쭌쭌,3,2025-11-01 18:48:31.0,"['피파', 'fc온라인', '시참']",2025-11-01T21:19:14Z,soop,00040070
288821594,전[슈챌]개혜자노방종룰렛100/쉴드101~ *스케줄*팀평받습니다!!환영,qkrwlstjq0,아킨펜와.,2,2025-11-02 06:01:57.0,"['피파', 'fc온라인', '대낙', '두치와뿌꾸', '팀평']",2025-11-01T21:19:14Z,soop,00040070
288816408,FC온라인 방송  들어오세요!~,lcm2310,승기승기,2,2025-11-01 22:53:05.0,"['피파', 'fc온라인', '피파온라인', '베그', '베틀그라운드']",2025-11-01T21:19:14Z,soop,00040070
